Sample 1,Sample 2,Passed?,Should?,Hamming
`1/1,'1/2,1,1,0.21866666666666668
`1/1,'1/3,1,1,0.276
`1/1,'1/4,1,1,0.26844444444444443
`1/1,'1/5,1,1,0.2
`1/1,'10/1,0,0,0.48355555555555557
`1/1,'10/2,0,0,0.484
`1/1,'10/3,0,0,0.4866666666666667
`1/1,'10/4,0,0,0.49244444444444446
`1/1,'10/5,0,0,0.48933333333333334
`1/1,'100/1,0,0,0.4524444444444444
`1/1,'100/2,0,0,0.49066666666666664
`1/1,'100/3,0,0,0.48
`1/1,'100/4,0,0,0.49244444444444446
`1/1,'100/5,0,0,0.4968888888888889
`1/1,'101/1,0,0,0.49777777777777776
`1/1,'101/2,0,0,0.4911111111111111
`1/1,'101/3,0,0,0.49244444444444446
`1/1,'101/5,0,0,0.4955555555555556
`1/1,'102/1,0,0,0.516
`1/1,'102/3,0,0,0.5213333333333333
`1/1,'102/4,0,0,0.49822222222222223
`1/1,'104/1,0,0,0.4826666666666667
`1/1,'104/2,0,0,0.5008888888888889
`1/1,'104/5,0,0,0.49333333333333335
`1/1,'105/1,0,0,0.48933333333333334
`1/1,'105/2,0,0,0.492
`1/1,'105/3,0,0,0.4875555555555556
`1/1,'105/4,0,0,0.49955555555555553
`1/1,'105/5,0,0,0.49777777777777776
`1/1,'106/1,0,0,0.49777777777777776
`1/1,'106/2,0,0,0.5053333333333333
`1/1,'106/3,0,0,0.508
`1/1,'106/4,0,0,0.5124444444444445
`1/1,'106/5,0,0,0.49644444444444447
`1/1,'11/1,0,0,0.5111111111111111
`1/1,'11/2,0,0,0.49822222222222223
`1/1,'11/3,0,0,0.4915555555555556
`1/1,'11/5,0,0,0.48844444444444446
`1/1,'113/1,0,0,0.476
`1/1,'113/2,0,0,0.49066666666666664
`1/1,'113/3,0,0,0.484
`1/1,'113/4,0,0,0.47733333333333333
`1/1,'113/5,0,0,0.48088888888888887
`1/1,'12/1,0,0,0.5062222222222222
`1/1,'12/2,0,0,0.49644444444444447
`1/1,'12/3,0,0,0.49466666666666664
`1/1,'12/4,0,0,0.4928888888888889
`1/1,'12/5,0,0,0.508
`1/1,'124/1,0,0,0.4968888888888889
`1/1,'124/2,0,0,0.4951111111111111
`1/1,'124/3,0,0,0.49822222222222223
`1/1,'124/4,0,0,0.5026666666666667
`1/1,'124/5,0,0,0.5008888888888889
`1/1,'125/1,0,0,0.5044444444444445
`1/1,'125/2,0,0,0.5031111111111111
`1/1,'125/4,0,0,0.5044444444444445
`1/1,'125/5,0,0,0.5022222222222222
`1/1,'126/2,0,0,0.524
`1/1,'126/3,0,0,0.5137777777777778
`1/1,'126/4,0,0,0.5057777777777778
`1/1,'13/1,0,0,0.5075555555555555
`1/1,'13/2,0,0,0.48355555555555557
`1/1,'13/4,0,0,0.5031111111111111
`1/1,'130/1,0,0,0.4888888888888889
`1/1,'130/2,0,0,0.4911111111111111
`1/1,'130/3,0,0,0.48844444444444446
`1/1,'130/4,0,0,0.4862222222222222
`1/1,'130/5,0,0,0.48444444444444446
`1/1,'131/1,0,0,0.5133333333333333
`1/1,'131/2,0,0,0.5173333333333333
`1/1,'131/3,0,0,0.48044444444444445
`1/1,'131/4,0,0,0.5048888888888889
`1/1,'131/5,0,0,0.5013333333333333
`1/1,'135/1,0,0,0.49333333333333335
`1/1,'135/2,0,0,0.4915555555555556
`1/1,'135/3,0,0,0.48577777777777775
`1/1,'135/4,0,0,0.4786666666666667
`1/1,'135/5,0,0,0.4955555555555556
`1/1,'136/1,0,0,0.4871111111111111
`1/1,'136/2,0,0,0.4955555555555556
`1/1,'136/3,0,0,0.49733333333333335
`1/1,'136/4,0,0,0.48444444444444446
`1/1,'136/5,0,0,0.5035555555555555
`1/1,'14/1,0,0,0.5137777777777778
`1/1,'14/2,0,0,0.5213333333333333
`1/1,'14/3,0,0,0.5173333333333333
`1/1,'14/4,0,0,0.5111111111111111
`1/1,'14/5,0,0,0.5182222222222223
`1/1,'140/1,0,0,0.4911111111111111
`1/1,'140/3,0,0,0.5035555555555555
`1/1,'140/4,0,0,0.5195555555555555
`1/1,'141/1,0,0,0.47955555555555557
`1/1,'141/2,0,0,0.4862222222222222
`1/1,'141/3,0,0,0.48577777777777775
`1/1,'141/4,0,0,0.49333333333333335
`1/1,'141/5,0,0,0.4826666666666667
`1/1,'142/1,0,0,0.49066666666666664
`1/1,'142/2,0,0,0.4915555555555556
`1/1,'142/3,0,0,0.4875555555555556
`1/1,'142/4,0,0,0.5093333333333333
`1/1,'142/5,0,0,0.5142222222222222
`1/1,'143/1,0,0,0.4871111111111111
`1/1,'143/2,0,0,0.49422222222222223
`1/1,'143/3,0,0,0.4991111111111111
`1/1,'143/4,0,0,0.48933333333333334
`1/1,'143/5,0,0,0.49066666666666664
`1/1,'147/1,0,0,0.5035555555555555
`1/1,'147/2,0,0,0.5022222222222222
`1/1,'147/3,0,0,0.5044444444444445
`1/1,'147/4,0,0,0.5226666666666666
`1/1,'147/5,0,0,0.49377777777777776
`1/1,'148/2,0,0,0.4911111111111111
`1/1,'148/3,0,0,0.4955555555555556
`1/1,'148/4,0,0,0.5066666666666667
`1/1,'148/5,0,0,0.4915555555555556
`1/1,'15/1,0,0,0.4791111111111111
`1/1,'15/2,0,0,0.4791111111111111
`1/1,'15/3,0,0,0.4786666666666667
`1/1,'15/4,0,0,0.47644444444444445
`1/1,'15/5,0,0,0.47733333333333333
`1/1,'151/1,0,0,0.5111111111111111
