Probe 1,Probe 2,Passed?,Should?,Hamming
`1/1,'1/2,1,1,0.305
`1/1,'1/3,1,1,0.3345
`1/1,'1/4,1,1,0.324
`1/1,'1/5,1,1,0.29
`1/1,'10/1,1,0,0.4825
`1/1,'10/2,1,0,0.4835
`1/1,'10/3,1,0,0.496
`1/1,'10/4,1,0,0.489
`1/1,'10/5,1,0,0.4835
`1/1,'100/1,1,0,0.4755
`1/1,'100/2,1,0,0.4565
`1/1,'100/3,1,0,0.472
`1/1,'100/4,1,0,0.4615
`1/1,'100/5,1,0,0.4515
`1/1,'101/1,1,0,0.4895
`1/1,'101/2,1,0,0.491
`1/1,'101/3,1,0,0.484
`1/1,'101/5,1,0,0.482
`1/1,'102/1,1,0,0.5065
`1/1,'102/3,1,0,0.475
`1/1,'102/4,1,0,0.477
`1/1,'104/1,1,0,0.4865
`1/1,'104/2,1,0,0.4995
`1/1,'104/5,1,0,0.49
`1/1,'105/1,1,0,0.4835
`1/1,'105/2,1,0,0.4825
`1/1,'105/3,1,0,0.48
`1/1,'105/4,1,0,0.4845
`1/1,'105/5,1,0,0.499
`1/1,'106/1,1,0,0.4865
`1/1,'106/2,1,0,0.4965
`1/1,'106/3,1,0,0.4965
`1/1,'106/4,1,0,0.497
`1/1,'106/5,1,0,0.486
`1/1,'11/1,1,0,0.4945
`1/1,'11/2,1,0,0.4885
`1/1,'11/3,1,0,0.489
`1/1,'11/5,1,0,0.4625
`1/1,'113/1,1,0,0.491
`1/1,'113/2,1,0,0.47
`1/1,'113/3,1,0,0.4765
`1/1,'113/4,1,0,0.4745
`1/1,'113/5,1,0,0.4825
`1/1,'12/1,1,0,0.498
`1/1,'12/2,1,0,0.491
`1/1,'12/3,1,0,0.4945
`1/1,'12/4,1,0,0.488
`1/1,'12/5,1,0,0.482
`1/1,'124/1,1,0,0.5085
`1/1,'124/2,1,0,0.5105
`1/1,'124/3,1,0,0.505
`1/1,'124/4,1,0,0.4865
`1/1,'124/5,1,0,0.506
`1/1,'125/1,1,0,0.4685
`1/1,'125/2,1,0,0.4845
`1/1,'125/4,1,0,0.4845
`1/1,'125/5,1,0,0.487
`1/1,'126/2,1,0,0.4945
`1/1,'126/3,1,0,0.4725
`1/1,'126/4,1,0,0.4895
`1/1,'13/1,1,0,0.478
`1/1,'13/2,1,0,0.4825
`1/1,'13/4,1,0,0.4755
`1/1,'130/1,1,0,0.481
`1/1,'130/2,1,0,0.4855
`1/1,'130/3,1,0,0.4735
`1/1,'130/4,1,0,0.494
`1/1,'130/5,1,0,0.4805
`1/1,'131/1,1,0,0.495
`1/1,'131/2,1,0,0.486
`1/1,'131/3,1,0,0.48
`1/1,'131/4,1,0,0.4935
`1/1,'131/5,1,0,0.485
`1/1,'135/1,1,0,0.473
`1/1,'135/2,1,0,0.4875
`1/1,'135/3,1,0,0.507
`1/1,'135/4,1,0,0.4875
`1/1,'135/5,1,0,0.51
`1/1,'136/1,1,0,0.4735
`1/1,'136/2,1,0,0.482
`1/1,'136/3,1,0,0.478
`1/1,'136/4,1,0,0.4855
`1/1,'136/5,1,0,0.485
`1/1,'14/1,1,0,0.465
`1/1,'14/2,1,0,0.486
`1/1,'14/3,1,0,0.4835
`1/1,'14/4,1,0,0.4885
`1/1,'14/5,1,0,0.477
`1/1,'140/1,1,0,0.4665
`1/1,'140/3,1,0,0.474
`1/1,'140/4,1,0,0.443
`1/1,'141/1,1,0,0.494
`1/1,'141/2,1,0,0.502
`1/1,'141/3,1,0,0.4825
`1/1,'141/4,1,0,0.4995
`1/1,'141/5,1,0,0.5075
`1/1,'142/1,1,0,0.4695
`1/1,'142/2,1,0,0.492
`1/1,'142/3,1,0,0.469
`1/1,'142/4,1,0,0.4885
`1/1,'142/5,1,0,0.472
`1/1,'143/1,1,0,0.4955
`1/1,'143/2,1,0,0.49
`1/1,'143/3,1,0,0.467
`1/1,'143/4,1,0,0.473
`1/1,'143/5,1,0,0.4785
`1/1,'147/1,1,0,0.492
`1/1,'147/2,1,0,0.476
`1/1,'147/3,1,0,0.478
`1/1,'147/4,1,0,0.479
`1/1,'147/5,1,0,0.479
`1/1,'148/2,1,0,0.492
`1/1,'148/3,1,0,0.489
`1/1,'148/4,1,0,0.486
`1/1,'148/5,1,0,0.487
`1/1,'15/1,1,0,0.498
`1/1,'15/2,1,0,0.5005
`1/1,'15/3,1,0,0.474
`1/1,'15/4,1,0,0.495
`1/1,'15/5,1,0,0.498
`1/1,'151/1,1,0,0.4815
`1/1,'151/2,1,0,0.495
`1/1,'151/3,1,0,0.472
`1/1,'151/4,1,0,0.4795
`1/1,'151/5,1,0,0.4905
`1/1,'152/1,1,0,0.4855
`1/1,'152/2,1,0,0.4855
`1/1,'152/3,1,0,0.483
`1/1,'152/4,1,0,0.5035
`1/1,'152/5,1,0,0.483
`1/1,'153/2,1,0,0.4685
`1/1,'153/3,1,0,0.47
`1/1,'155/1,1,0,0.493
`1/1,'155/2,1,0,0.4785
`1/1,'155/3,1,0,0.4985
`1/1,'155/4,1,0,0.4725
`1/1,'158/1,1,0,0.4985
`1/1,'158/2,1,0,0.49
`1/1,'158/3,1,0,0.478
`1/1,'158/4,1,0,0.471
`1/1,'158/5,1,0,0.4725
`1/1,'16/1,1,0,0.49
`1/1,'16/2,1,0,0.4995
`1/1,'16/3,1,0,0.4805
`1/1,'16/4,1,0,0.492
`1/1,'16/5,1,0,0.474
`1/1,'161/1,1,0,0.488
`1/1,'161/2,1,0,0.4905
`1/1,'161/3,1,0,0.497
`1/1,'161/4,1,0,0.4835
`1/1,'161/5,1,0,0.4845
`1/1,'162/1,1,0,0.482
`1/1,'162/3,1,0,0.4875
`1/1,'162/5,1,0,0.4765
