Sample 1,Sample 2,Passed?,Should?,Hamming
`1/1,'1/2,1,1,0.6579999243912289
`1/1,'1/3,1,1,0.6130255241269733
`1/1,'1/4,1,1,0.6134454295034004
`1/1,'1/5,1,1,0.6101648684112451
`1/1,'10/1,1,0,0.674374862389355
`1/1,'10/2,1,0,0.5922554691685128
`1/1,'10/3,1,0,0.6359693173171432
`1/1,'10/4,1,0,0.6244941199433954
`1/1,'10/5,1,0,0.6223299255763025
`1/1,'100/1,1,0,0.6555478064608499
`1/1,'100/2,1,0,0.6363516629145921
`1/1,'100/3,1,0,0.604457071109245
`1/1,'100/4,1,0,0.6351205580023277
`1/1,'100/5,1,0,0.6074465239537704
`1/1,'101/1,1,0,0.6126962275512999
`1/1,'101/2,1,0,0.6360369914572811
`1/1,'101/3,1,0,0.6352439530410545
`1/1,'101/5,1,0,0.6408667178232396
`1/1,'102/1,1,0,0.6407545144066884
`1/1,'102/3,1,0,0.6470432466084638
`1/1,'102/4,1,0,0.6085969441186834
`1/1,'104/1,1,0,0.6120807394430583
`1/1,'104/2,1,0,0.6346308458047587
`1/1,'104/5,1,0,0.642628038091806
`1/1,'105/1,1,0,0.6006804408688466
`1/1,'105/2,1,0,0.6530733855516464
`1/1,'105/3,1,0,0.6447394639713481
`1/1,'105/4,1,0,0.5906929721397485
`1/1,'105/5,1,0,0.6094901539684149
`1/1,'106/1,1,0,0.6138524036350124
`1/1,'106/2,1,0,0.619084488780141
`1/1,'106/3,1,0,0.6602683179182035
`1/1,'106/4,1,0,0.6072246942536798
`1/1,'106/5,1,0,0.6215826871593987
`1/1,'11/1,1,0,0.5859618347299507
`1/1,'11/2,1,0,0.6374143174394891
`1/1,'11/3,1,0,0.5949698573031905
`1/1,'11/5,1,0,0.6653591094895442
`1/1,'113/1,1,0,0.6350849649545302
`1/1,'113/2,1,0,0.6020436300146444
`1/1,'113/3,1,0,0.6531793547300792
`1/1,'113/4,1,0,0.6381797826435506
`1/1,'113/5,1,0,0.6303341774478309
`1/1,'12/1,1,0,0.6470880391749958
`1/1,'12/2,1,0,0.628101764043793
`1/1,'12/3,1,0,0.6232297986500883
`1/1,'12/4,1,0,0.6057324688194253
`1/1,'12/5,1,0,0.6589177162075713
`1/1,'124/1,1,0,0.6390678258939129
`1/1,'124/2,1,0,0.6313804064963485
`1/1,'124/3,1,0,0.644885224812761
`1/1,'124/4,1,0,0.6378711438856365
`1/1,'124/5,1,0,0.5925101355970921
`1/1,'125/1,1,0,0.6289668930103713
`1/1,'125/2,1,0,0.6452367841498277
`1/1,'125/4,1,0,0.6415303928492334
`1/1,'125/5,1,0,0.6123838871809887
`1/1,'126/2,1,0,0.6101070164403498
`1/1,'126/3,1,0,0.6112176524495364
`1/1,'126/4,1,0,0.6444779058837029
`1/1,'13/1,1,0,0.6256749316169606
`1/1,'13/2,1,0,0.6430073903552164
`1/1,'13/4,1,0,0.6377368498382991
`1/1,'130/1,1,0,0.6300697847509441
`1/1,'130/2,1,0,0.6377563445679386
`1/1,'130/3,1,0,0.6353303223882933
`1/1,'130/4,1,0,0.614974159552344
`1/1,'130/5,1,0,0.6213728139815096
`1/1,'131/1,1,0,0.618833553456742
`1/1,'131/2,1,0,0.6134300455314947
`1/1,'131/3,1,0,0.5916835794372025
`1/1,'131/4,1,0,0.5938330965867196
`1/1,'131/5,1,0,0.6285892831072084
`1/1,'135/1,1,0,0.6691404607201711
`1/1,'135/2,1,0,0.6182891177528856
`1/1,'135/3,1,0,0.6216424782946522
`1/1,'135/4,1,0,0.6450919225701834
`1/1,'135/5,1,0,0.6645312079789575
`1/1,'136/1,1,0,0.6024282963413398
`1/1,'136/2,1,0,0.6276803277238059
`1/1,'136/3,1,0,0.656162600797231
`1/1,'136/4,1,0,0.6146123881768428
`1/1,'136/5,1,0,0.6482381150786948
`1/1,'14/1,1,0,0.657886042115638
`1/1,'14/2,1,0,0.6397137666413028
`1/1,'14/3,1,0,0.6354791933777442
`1/1,'14/4,1,0,0.6189525369960154
`1/1,'14/5,1,0,0.6298911657317454
`1/1,'140/1,1,0,0.6058000657420947
`1/1,'140/3,1,0,0.6209212791206795
`1/1,'140/4,1,0,0.6347838152185978
`1/1,'141/1,1,0,0.6477935231703348
`1/1,'141/2,1,0,0.6154443699081379
`1/1,'141/3,1,0,0.6480203458151589
`1/1,'141/4,1,0,0.6489081567922148
`1/1,'141/5,1,0,0.607045771726931
`1/1,'142/1,1,0,0.6228480746306834
`1/1,'142/2,1,0,0.6644689797588349
`1/1,'142/3,1,0,0.6448348607913825
`1/1,'142/4,1,0,0.5959161380755583
`1/1,'142/5,1,0,0.6583370548427754
`1/1,'143/1,1,0,0.6462169210285149
`1/1,'143/2,1,0,0.6152095505138985
`1/1,'143/3,1,0,0.6470646599777035
`1/1,'143/4,1,0,0.6406667283333948
`1/1,'143/5,1,0,0.6184613893889257
`1/1,'147/1,1,0,0.6388786205742729
`1/1,'147/2,1,0,0.6541436283297458
`1/1,'147/3,1,0,0.6252465360726229
`1/1,'147/4,1,0,0.6446782396347613
`1/1,'147/5,1,0,0.655821198125546
`1/1,'148/2,1,0,0.6463145512565802
`1/1,'148/3,1,0,0.6184321304031449
`1/1,'148/4,1,0,0.6347994442487196
`1/1,'148/5,1,0,0.6366936734762824
`1/1,'15/1,1,0,0.647420188507145
`1/1,'15/2,1,0,0.6609775490210271
`1/1,'15/3,1,0,0.6198986617247486
`1/1,'15/4,1,0,0.5954372289009969
`1/1,'15/5,1,0,0.611427880761214
`1/1,'151/1,1,0,0.6177715606990969
`1/1,'151/2,1,0,0.6039942215594389
`1/1,'151/3,1,0,0.6001299929270943
`1/1,'151/4,1,0,0.6441470311760167
`1/1,'151/5,1,0,0.6545654587523388
`1/1,'152/1,1,0,0.626998815998816
`1/1,'152/2,1,0,0.5979319154941344
`1/1,'152/3,1,0,0.6219980427516659
`1/1,'152/4,1,0,0.6317380418829693
`1/1,'152/5,1,0,0.5916430198893967
`1/1,'153/2,1,0,0.613906620570999
`1/1,'153/3,1,0,0.6293496680453201
`1/1,'155/1,1,0,0.6255974165394456
`1/1,'155/2,1,0,0.5930579550121884
`1/1,'155/3,1,0,0.6187581253958065
`1/1,'155/4,1,0,0.636224716239209
`1/1,'158/1,1,0,0.6286226068631972
`1/1,'158/2,1,0,0.6096716734687749
`1/1,'158/3,1,0,0.6453722943722945
`1/1,'158/4,1,0,0.637714475709899
`1/1,'158/5,1,0,0.6330269735632054
`1/1,'16/1,1,0,0.616868681591031
`1/1,'16/2,1,0,0.63062796846626
`1/1,'16/3,1,0,0.6200245567636872
`1/1,'16/4,1,0,0.6560053993242398
`1/1,'16/5,1,0,0.6289000293023281
`1/1,'161/1,1,0,0.6036985451478204
`1/1,'161/2,1,0,0.6126045517326982
`1/1,'161/3,1,0,0.6117887914369674
`1/1,'161/4,1,0,0.6359668615575662
`1/1,'161/5,1,0,0.6149745906267647
`1/1,'162/1,1,0,0.7030818242412445
`1/1,'162/3,1,0,0.6352919974056511
`1/1,'162/5,1,0,0.6083355892631255
`1/1,'165/1,1,0,0.6306076805642024
`1/1,'165/2,1,0,0.6207325418599255
`1/1,'165/3,1,0,0.6273654193364337
`1/1,'165/4,1,0,0.6219336063828819
`1/1,'165/5,1,0,0.6702143358520168
`1/1,'166/2,1,0,0.6325775476042448
`1/1,'166/4,1,0,0.6458128355809514
`1/1,'166/5,1,0,0.614664054734993
`1/1,'167/1,1,0,0.6355707051938935
`1/1,'167/2,1,0,0.6296714600482716
`1/1,'167/3,1,0,0.6538337663410128
`1/1,'167/4,1,0,0.5896762523574118
`1/1,'167/5,1,0,0.5915608814159538
`1/1,'168/1,1,0,0.6115646269994095
